Institution Index,Institution,Last Name,Mid Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors,Remarks,Collector,,,,,,,
552,Zhejiang University,Ren,,Kui,2007,Worcester Polytechnic Institute,"Computer security,Mobile computing",74,32873,17,2.9,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Ren,,Zhong,2007,Zhejiang University,Computer graphics,12,645,6,1.1,suffix 0001,Yutao Feng,,,,,,,
552,Zhejiang University,Shao,,Tianjia,2014,Tsinghua University,Computer graphics,11,787,11,2.2,,Yutao Feng,,,,,,,
552,Zhejiang University,Shen,,Wenbo,2015,University of North Carolina,Computer security,13,669,5,0.9,,Xingqiao Li,,,,,,,
552,Zhejiang University,Shou,,Lidan,2003,National University of Singapore,"The Web & information retrieval,Databases",15,1194,10,2.1,,Yutao Feng,,,,,,,
552,Zhejiang University,Song,,Mingli,2006,Zhejiang University,Computer vision,33,8052,22,3.9,,Haici Jin,,,,,,,
552,Zhejiang University,Tang,,Siliang,2012,National University of Ireland,"Artificial intelligence,Natural language processing",13,683,12,1.8,Ph.D. Graduate School not in list,Yutao Feng,,,,,,,
552,Zhejiang University,Tang,,Yongchuan,2003,Southwest Jiaotong University,Artificial intelligence,18,1128,3,0.8,Ph.D. Graduate School not in list,Xingqiao Li,,,,,,,
552,Zhejiang University,Tang,,Min,1999,Zhejiang University,Computer graphics,24,2198,3,0.6,suffix 0001,Xingqiao Li,,,,,,,
552,Zhejiang University,Tao,,Yubo,2009,Zhejiang University,Visualization,9,356,1,0.2,,Xingqiao Li,,,,,,,
552,Zhejiang University,Tong,,Ruofeng,1996,Zhejiang University,Computer graphics,24,2046,2,0.5,,Xingqiao Li,,,,,,,
552,Zhejiang University,Wang,,Donghui,,,"Artificial intelligence,Computer vision",12,771,5,1.3,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,Wang,,Xinyu,2007,Zhejiang University,Software engineering,24,1990,2,0.4,suffix 0001,Xingqiao Li,,,,,,,
552,Zhejiang University,Wang,,Rui,2007,Zhejiang University,Computer graphics,13,1412,11,2.1,suffix 0004,Yutao Feng,,,,,,,
552,Zhejiang University,Wei,,Baogang,1997,Northwestern Polytechnical University,Robotics,3,32,4,1.2,,Xingqiao Li,,,,,,,
552,Zhejiang University,Weng,,Yanlin,2008,University of Wisconsin - Milwaukee,Computer graphics,12,1303,7,1.4,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Wu,,Hongzhi,2012,Yale University,Computer graphics,15,585,9,2,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Wu,,Jian,,Zhejiang University,Artificial intelligence,29,3248,1,0.1,"suffix 0001, can't find PhD graduate year",Xingqiao Li,,,,,,,
552,Zhejiang University,Wu,,Zhaohui,1993,Zhejiang University,"Computer vision,Artificial intelligence",44,10725,10,2.1,"suffix 0001,h-index and citations originate from semantic scholar",Yutao Feng,,,,,,,
552,Zhejiang University,Wu,,Yingcai,2009,The Hong Kong University of Science and Technology,Visualization,27,3239,20,3.5,,Haici Jin,,,,,,,
552,Zhejiang University,Wu,,Sai,2011,National University of Singapore,Databases,27,3222,18,3.9,,Haici Jin,,,,,,,
552,Zhejiang University,Wu,,Chunming,1995,Zhejiang University,Computer networks,12,550,1,0.1,,Xingqiao Li,,,,,,,
552,Zhejiang University,Xiang,,Yang,,Deakin University,"Databases,Machine learning & data mining",57,11346,11,2.5,"Ph.D. Graduate School not in list,Can't find PhD graduate info",Yutao Feng,,,,,,,
552,Zhejiang University,Xiao,,Jun,2007,Zhejiang University,"Artificial intelligence,Computer vision",22,2394,16,2.7,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Xu,,Congfu,2000,Zhejiang University,Artificial intelligence,13,722,8,2,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Xu,,Weiwei,2003,Zhejiang University,Computer graphics,27,2206,24,4.5,,Haici Jin,,,,,,,
552,Zhejiang University,Xu,,Wenxuan,2007,Rutgers University,Computer security,33,6567,14,3.3,,Haici Jin,,,,,,,
552,Zhejiang University,Xu,,Duanqing,2003,Zhejiang University,Computer vision,7,251,4,1.1,,Xingqiao Li,,,,,,,
552,Zhejiang University,Yang,,Yang,2016,Tsinghua University,Artificial intelligence,20,2243,15,2.6,suffix 0009,Haici Jin,,,,,,,
552,Zhejiang University,Yao,,Min,1995,Zhejiang University,Operating systems,39,6714,1,0.2,h-index and citations originate from semantic scholar,Xingqiao Li,,,,,,,
552,Zhejiang University,Yin,,Jianwei,2001,Zhejiang University,Artificial intelligence,27,3090,2,0.3,,Xingqiao Li,,,,,,,
552,Zhejiang University,Ying,,Fangtian,,,Human-computer interaction,6,112,2,0.3,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,Zhang,,Bingsheng,,,Computer security,17,1034,2,0.7,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,Zhang,,Guofeng,2009,Zhejiang University,Computer vision,21,1710,15,3.3,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Zhang,,Kejun,2010,Zhejiang University,Artificial intelligence,26,3314,1,0.5,,Xingqiao Li,,,,,,,
552,Zhejiang University,Zheng,,Xiaolin,2004,Zhejiang University,Artificial intelligence,20,1340,7,1.6,,Yutao Feng,,,,,,,
552,Zhejiang University,Zheng,,Youyi,2011,The Hong Kong University of Science and Technology,Computer graphics,17,1283,7,1.3,,Yutao Feng,,,,,,,
552,Zhejiang University,Zhou,,Kun,2002,Zhejiang University,Computer graphics,54,11332,76,16.1,,Haici Jin,,,,,,,
552,Zhejiang University,Zhou,,Zhao,2015,The Hong Kong University of Science and Technology,Artificial intelligence,27,2322,52,9,,Haici Jin,,,,,,,
552,Zhejiang University,Zhou,,Xiaowei,2013,The Hong Kong University of Science and Technology,Computer vision,22,2905,26,6.2,,Haici Jin,,,,,,,
552,Zhejiang University,Zhou,,Yajin,2015,North Carolina State University,Computer security,17,6945,8,1.8,,Yutao Feng,,,,,,,
552,Zhejiang University,Zhu,,Jianke,2009,Chinese University of Hong Kong,"Computer vision,Artificial intelligence",29,5994,21,6.2,,Haici Jin,,,,,,,
552,Zhejiang University,Zhuang,,Yueting,1998,Zhejiang University,Artificial intelligence,53,12115,54,10,,Haici Jin,,,,,,,
515,University of Wisconsin - Madison,Akella,,Aditya,2005,Carnegie Mellon University,Computer networks,53,14039,60,13.8,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Albarghouthi,,Aws,2015,University of Toronto,"Logic & verification,Programming languages",18,1137,24,7.7,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Arpaci-Dusseau,C.,Andrea,1998,University of California - Berkeley,Operating systems,59,12340,35,7.6,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Arpaci-Dusseau,H.,Remzi,1999,University of California - Berkeley,Operating systems,58,12743,35,7.7,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Bach,,Eric,1984,University of California - Berkeley,Algorithms & complexity,23,3418,8,5.4,H-index&Citations from semantic scholar,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Banerjee,,Suman,2003,University of Maryland - College Park,"Mobile computing,Measurement & perf. analysis",72,22345,43,12.6,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Barford,,Paul,2000,Boston University,Measurement & perf. analysis,48,13243,37,11.5,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Cai,,Jin-Yi,1986,Cornell University,Algorithms & complexity,45,6527,37,17.2,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Chatterjee,,Rahul,2019,Cornell University,Computer security,9,274,10,1.9,ȥ��001,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Chawla,,Shuchi,2005,Carnegie Mellon University,"Algorithms & complexity,Economics & computation",29,5909,32,10.3,0001 ignored,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Craven,,Mark,,,Artificial intelligence,40,9737,25,9.3,δ�ҵ�ѧ����Ϣ,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,D'Antoni,,Loris,2015,University of Pennsylvania,"Logic & verification,Programming languages",22,1517,30,10.1,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Diakonikolas,,Jelena,2016,Columbia University,Machine learning & data mining,9,230,2,0.8,H-index&Citations from semantic scholar,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Diakonikolas,,Ilias,2011,Columbia University,Algorithms & complexity,33,3255,52,14.6,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Doan,,AnHai,,University of Washington,Databases,16,2670,30,6.4,H-index��citations�õ�semanticscholarphd��ѧ���δ�ҵ�?Wei Ren,,,,,,,,
515,University of Wisconsin - Madison,Fawaz,M.,Kassem,2017,University of Michigan,Computer security,18,1080,8,2.6,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Fernandes,T.,Earlence,2017,University of Michigan,"Computer security,Mobile computing",17,2655,6,1.3,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Gitter,,Anthony,2012,Carnegie Mellon University,,14,1756,1,0.5,Interest left blank,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Gleicher,Lee,Michael,1994,Carnegie Mellon University,"Visualization,Computer graphics",57,15561,38,17.1,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Gupta,,Mohit,2011,Carnegie Mellon University,Computer vision,23,1979,26,7.3,ȥ��001,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Hill,D.,Mark,1987,University of California - Berkeley,Computer architecture,83,30084,55,15.3,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Hsu,,Justin,,Cornell University,Programming languages,22,1541,26,6.3,phd��ѧ���δ�ҵ�?Wei Ren,,,,,,,,
515,University of Wisconsin - Madison,Jha,,Somesh,1996,Carnegie Mellon University,Computer security,84,34324,71,18.3,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Joseph,A.,Deborah,1981,Purdue University,Algorithms & complexity,16,1447,5,2.3,H-index&Citations from semantic scholar,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Koutris,,Paraschos,2015,University of Washington,Databases,18,1432,10,2.7,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Lee,,Kangwook,2016,University of California - Berkeley,,15,1303,2,0.5,Interest left blank,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Lessard,,Laurent,2011,Stanford University,Machine learning & data mining,19,1424,5,1.6,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Li,,Yixuan,2017,Cornell University,"Computer vision,The Web & information retrieval,Machine learning & data mining",15,3181,8,1.5,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Liang,,Yingyu,2014,Georgia Institute of Technology,Machine learning & data mining,23,3238,22,6.4,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Linderoth,T.,Jeff,1998,Georgia Institute of Technology,Design automation,34,5494,4,1.3,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Livny,,Miron,1984,Weizmann Institute of Science,"Databases,High-performance computing",87,40854,46,15.3,,Xiao Han,,,,,,,
